2017-11-11 06:19:01 INFO  Main:12 - Starting BankDriver
2017-11-11 06:23:11 INFO  GLOBAL:12 - Starting BankDriver
2017-11-11 06:23:11 INFO  GLOBAL:31 - BankDriver: In Start Menu
2017-11-11 09:15:42 INFO  GLOBAL:12 - Main: Starting BankDriver
2017-11-11 09:15:42 INFO  GLOBAL:29 - BankDriver: In Start Menu
2017-11-11 11:47:13 INFO  GLOBAL:121 - Database: Retrived customerList
2017-11-11 11:47:13 INFO  GLOBAL:125 - Database: Retrived adminList
2017-11-11 11:47:13 INFO  GLOBAL:129 - Database: Retrived accountList
2017-11-11 11:47:13 INFO  GLOBAL:12 - Main: Starting BankDriver
2017-11-11 11:47:13 INFO  GLOBAL:38 - BankDriver: In Start Menu
2017-11-11 11:47:49 INFO  GLOBAL:132 - New Customer gtheriot created.
2017-11-11 11:47:49 INFO  GLOBAL:134 - New Account 11111112 created.
2017-11-11 11:47:49 INFO  GLOBAL:136 - User Customer [Blocked= true, firstName=Greg, lastName=Theriot, username=gtheriot, password=1234] opened Account 11111112.
2017-11-11 11:47:49 INFO  GLOBAL:94 - Database: Updated customerList
2017-11-11 11:47:49 INFO  GLOBAL:104 - Database: Updated accountList
2017-11-11 11:47:49 INFO  GLOBAL:38 - BankDriver: In Start Menu
2017-11-11 11:51:50 INFO  GLOBAL:121 - Database: Retrived customerList
2017-11-11 11:51:50 INFO  GLOBAL:125 - Database: Retrived adminList
2017-11-11 11:51:50 INFO  GLOBAL:129 - Database: Retrived accountList
2017-11-11 11:51:50 INFO  GLOBAL:12 - Main: Starting BankDriver
2017-11-11 11:51:50 INFO  GLOBAL:38 - BankDriver: In Start Menu
2017-11-11 11:55:54 INFO  GLOBAL:121 - Database: Retrived customerList
2017-11-11 11:55:54 INFO  GLOBAL:125 - Database: Retrived adminList
2017-11-11 11:55:54 INFO  GLOBAL:129 - Database: Retrived accountList
2017-11-11 11:55:54 INFO  GLOBAL:12 - Main: Starting BankDriver
2017-11-11 11:55:54 INFO  GLOBAL:38 - BankDriver: In Start Menu
2017-11-11 11:56:23 INFO  GLOBAL:132 - BankDriver: New Customer mjsnee created.
2017-11-11 11:56:23 INFO  GLOBAL:134 - BankDriver: New Account 11111112 created.
2017-11-11 11:56:23 INFO  GLOBAL:136 - BankDriver: mjsnee opened Account 11111112.
2017-11-11 11:56:23 INFO  GLOBAL:94 - Database: Updated customerList
2017-11-11 11:56:24 INFO  GLOBAL:104 - Database: Updated accountList
2017-11-11 11:56:24 INFO  GLOBAL:38 - BankDriver: In Start Menu
2017-11-11 11:59:53 INFO  GLOBAL:121 - Database: Retrived customerList
2017-11-11 11:59:53 INFO  GLOBAL:125 - Database: Retrived adminList
2017-11-11 11:59:53 INFO  GLOBAL:129 - Database: Retrived accountList
2017-11-11 11:59:53 INFO  GLOBAL:12 - Main: Starting BankDriver
2017-11-11 11:59:53 INFO  GLOBAL:38 - BankDriver: In Start Menu
2017-11-11 12:15:06 INFO  GLOBAL:121 - Database: Retrived customerList
2017-11-11 12:15:06 INFO  GLOBAL:125 - Database: Retrived adminList
2017-11-11 12:15:06 INFO  GLOBAL:129 - Database: Retrived accountList
2017-11-11 12:15:06 INFO  GLOBAL:12 - Main: Starting BankDriver
2017-11-11 12:15:06 INFO  GLOBAL:38 - BankDriver: In Start Menu
2017-11-11 12:17:16 INFO  GLOBAL:94 - Database: Updated customerList
2017-11-11 12:17:16 INFO  GLOBAL:99 - Database: Updated adminList
2017-11-11 12:17:16 INFO  GLOBAL:104 - Database: Updated accountList
2017-11-11 12:17:16 INFO  GLOBAL:121 - Database: Retrived customerList
2017-11-11 12:17:16 INFO  GLOBAL:125 - Database: Retrived adminList
2017-11-11 12:17:16 INFO  GLOBAL:129 - Database: Retrived accountList
2017-11-11 12:17:16 INFO  GLOBAL:12 - Main: Starting BankDriver
2017-11-11 12:17:16 INFO  GLOBAL:38 - BankDriver: In Start Menu
2017-11-11 12:17:52 INFO  GLOBAL:132 - BankDriver: New Customer mjsnee created.
2017-11-11 12:18:27 INFO  GLOBAL:121 - Database: Retrived customerList
2017-11-11 12:18:27 INFO  GLOBAL:125 - Database: Retrived adminList
2017-11-11 12:18:27 INFO  GLOBAL:129 - Database: Retrived accountList
2017-11-11 12:18:27 INFO  GLOBAL:12 - Main: Starting BankDriver
2017-11-11 12:18:27 INFO  GLOBAL:38 - BankDriver: In Start Menu
2017-11-11 12:18:58 INFO  GLOBAL:132 - BankDriver: New Customer mjsnee created.
2017-11-11 12:18:58 INFO  GLOBAL:134 - BankDriver: New Account 11111112 created.
2017-11-11 12:18:58 INFO  GLOBAL:136 - BankDriver: mjsnee opened Account 11111112.
2017-11-11 12:18:58 INFO  GLOBAL:94 - Database: Updated customerList
2017-11-11 12:18:58 INFO  GLOBAL:104 - Database: Updated accountList
2017-11-11 12:18:58 INFO  GLOBAL:38 - BankDriver: In Start Menu
2017-11-11 12:19:16 INFO  GLOBAL:121 - Database: Retrived customerList
2017-11-11 12:19:16 INFO  GLOBAL:125 - Database: Retrived adminList
2017-11-11 12:19:16 INFO  GLOBAL:129 - Database: Retrived accountList
2017-11-11 12:19:16 INFO  GLOBAL:12 - Main: Starting BankDriver
2017-11-11 12:19:16 INFO  GLOBAL:38 - BankDriver: In Start Menu
2017-11-11 12:20:26 INFO  GLOBAL:121 - Database: Retrived customerList
2017-11-11 12:20:26 INFO  GLOBAL:125 - Database: Retrived adminList
2017-11-11 12:20:26 INFO  GLOBAL:129 - Database: Retrived accountList
2017-11-11 12:20:26 INFO  GLOBAL:12 - Main: Starting BankDriver
2017-11-11 12:20:26 INFO  GLOBAL:38 - BankDriver: In Start Menu
2017-11-11 12:20:48 INFO  GLOBAL:132 - BankDriver: New Customer gtheriot created.
2017-11-11 12:20:48 INFO  GLOBAL:134 - BankDriver: New Account 11111112 created.
2017-11-11 12:20:48 INFO  GLOBAL:136 - BankDriver: gtheriot opened Account 11111112.
2017-11-11 12:20:48 INFO  GLOBAL:94 - Database: Updated customerList
2017-11-11 12:20:48 INFO  GLOBAL:104 - Database: Updated accountList
